habitaciones;baños;parqueaderos;area_construida;area_privada;estrato;estado;antiguedad;administracion;precio_m2;Ascensor;Circuito cerrado de TV;Parqueadero Visitantes;Portería / Recepción;Zonas Verdes;Salón Comunal;Balcón;Barra estilo americano;Calentador;Chimenea;Citófono;Cocina Integral;Terraza;Vigilancia;Parques cercanos;Estudio;Patio;Depósito / Bodega;nombre;ubicacion;precio
2;2;1;67 m²;57 m²;4;No definida;16 a 30 años;$ 650.000 COP;$ 4.626.865,67*m²;1;1;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;1;Apartamento;Bosque calderon;310000000
4;4;2;136 m²;128 m²;4;Excelente;1 a 8 años;$ 410.000 COP;$ 6.250.000*m²;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;Apartamento;Mazurén;850000000
2;3;2;94 m²;94 m²;4;Excelente;menor a 1 año;$ 530.000 COP;$ 5.851.063,83*m²;1;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;Apartamento;Cedritos;550000000
3;2;1;78 m²;78 m²;4;No definida;1 a 8 años;$ 274.000 COP;$ 5.128.205,13*m²;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;1;0;1;Apartamento;sabaneta;400000000
3;2;0;95 m²;9.353 m²;4;Excelente;más de 30 años;$ 85.000 COP;$ 4.052.631,58*m²;0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;Apartamento;El Campín;385000000
3;1;0;49,41 m²;49 m²;3;Bueno;16 a 30 años;$ 120.000 COP;$ 3.804.897,79*m²;0;0;0;1;1;1;0;0;1;0;0;0;0;1;1;0;0;0;Apartamento;Ciudadela Colsubsidio;188000000
3;4;2;170 m²;270 m²;6;Excelente;16 a 30 años;$ 1.158.000 COP;$ 7.588.235,29*m²;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;Apartamento;Santa bibiana;1290000000
3;2;1;86 m²;80 m²;3;Excelente;1 a 8 años;No definida;$ 3.720.930,23*m²;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;Apartamento;Santa Matilde;320000000
12;5;0;375 m²;320 m²;3;Bueno;16 a 30 años;No definida;$ 1.493.333,33*m²;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;Casa;Los Cerezos;560000000
6;4;3;218 m²;0 m²;4;Bueno;más de 30 años;No definida;$ 3.027.522,94*m²;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;Casa;Normandía;660000000
3;2;0;60 m²;60 m²;3;Bueno;16 a 30 años;No definida;$ 2.833.333,33*m²;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Casa;Villa de los Alpes;170000000
3;4;2;175 m²;175 m²;4;No definida;16 a 30 años;No definida;$ 4.285.714,29*m²;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;Casa;Cedro Golf;750000000
3;2;1;76 m²;70 m²;4;Bueno;9 a 15 años;$ 241.000 COP;$ 4.736.842,11*m²;0;1;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;0;Casa;Versalles;360000000
3;2;1;78,5 m²;0 m²;4;Excelente;9 a 15 años;$ 303.000 COP;$ 4.585.987,26*m²;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;Apartamento;Hayuelos;360000000
3;2;1;65 m²;0 m²;3;No definida;No definida;$ 289.000 COP;$ 5.384.615,38*m²;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Eduardo frey;350000000
3;3;3;250 m²;240 m²;6;Remodelado;más de 30 años;$ 1.700.000 COP;$ 7.000.000*m²;1;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;Apartamento;Los Rosales;1750000000
